route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,9914:1-7-127,STAN-S1-0_13553479,"Essey Mouzimpré",,0,101,9914$STAN-61$1,,
1,9914:1-7-127,STAN-S1-0_13553488,"Essey Mouzimpré",,0,105,9914$STAN-61$1,,
1,9914:1-7-127,STAN-S1-0_13553617,"Essey Mouzimpré",,0,109,9914$STAN-61$1,,
1,9914:7-7-127,STAN-S1-2_73512170,"Essey Mouzimpré",,0,105,9914$STAN-61$1,,
5,9914:5-7-127,STAN-S1-0_53518988,"Vand. Roberval",,0,509,,,
5,9914:5-7-127,STAN-S1-0_53518989,"Vand. Roberval",,0,507,,,
5,9914:5-7-127,STAN-S1-0_53518990,"Vand. Roberval",,0,508,,,
5,9914:5-7-127,STAN-S1-0_53518991,"Vand. Roberval",,0,502,,,
5,9914:5-7-127,STAN-S1-0_53518992,"Vand. Roberval",,0,510,,,
5,9914:5-7-127,STAN-S1-0_53518993,"Vand. Roberval",,0,505,,,
5,9914:5-7-127,STAN-S1-0_53518994,"Vand. Roberval",,0,506,,,
5,9914:5-7-127,STAN-S1-0_53518995,"Vand. Roberval",,0,509,,,
5,9914:5-7-127,STAN-S1-0_53518996,"Vand. Roberval",,0,507,,,
5,9914:5-7-127,STAN-S1-0_53518997,"Vand. Roberval",,0,508,,,
1,9914:7-7-127,STAN-S1-2_73512171,"Essey Mouzimpré",,0,106,9914$STAN-61$1,,
5,9914:5-7-127,STAN-S1-0_53518998,"Vand. Roberval",,0,502,,,
5,9914:5-7-127,STAN-S1-0_53518999,"Vand. Roberval",,0,505,,,
5,9914:5-7-127,STAN-S1-0_53519000,"Vand. Roberval",,0,506,,,
5,9914:5-7-127,STAN-S1-0_53519001,"Vand. Roberval",,0,507,,,
5,9914:5-7-127,STAN-S1-0_53519002,"Vand. Roberval",,0,508,,,
5,9914:5-7-127,STAN-S1-0_53519084,"Vand. Roberval",,0,504,,,
5,9914:5-7-127,STAN-S1-0_53519086,"Vand. Roberval",,0,505,,,
5,9914:5-7-127,STAN-S1-0_53519088,"Vand. Roberval",,0,506,,,
5,9914:7-7-127,STAN-S1-2_73513441,"Vand. Roberval",,0,501,,,
5,9914:7-7-127,STAN-S1-2_73513442,"Vand. Roberval",,0,503,,,
1,9914:7-7-127,STAN-S1-2_73512172,"Essey Mouzimpré",,0,107,9914$STAN-61$1,,
5,9914:7-7-127,STAN-S1-2_73513443,"Vand. Roberval",,0,502,,,
5,9914:7-7-127,STAN-S1-2_73513444,"Vand. Roberval",,0,504,,,
5,9914:7-7-127,STAN-S1-2_73513445,"Vand. Roberval",,0,501,,,
5,9914:7-7-127,STAN-S1-2_73513446,"Vand. Roberval",,0,503,,,
5,9914:7-7-127,STAN-S1-2_73513447,"Vand. Roberval",,0,502,,,
5,9914:7-7-127,STAN-S1-2_73513448,"Vand. Roberval",,0,504,,,
5,9914:7-7-127,STAN-S1-2_73513449,"Vand. Roberval",,0,501,,,
5,9914:7-7-127,STAN-S1-2_73513450,"Vand. Roberval",,0,503,,,
5,9914:7-7-127,STAN-S1-2_73513451,"Vand. Roberval",,0,502,,,
5,9914:7-7-127,STAN-S1-2_73513452,"Vand. Roberval",,0,504,,,
1,9914:7-7-127,STAN-S1-2_73512173,"Essey Mouzimpré",,0,101,9914$STAN-61$1,,
5,9914:7-7-127,STAN-S1-2_73513453,"Vand. Roberval",,0,501,,,
5,9914:7-7-127,STAN-S1-2_73513454,"Vand. Roberval",,0,503,,,
5,9914:7-7-127,STAN-S1-2_73513455,"Vand. Roberval",,0,502,,,
5,9914:7-7-127,STAN-S1-2_73513456,"Vand. Roberval",,0,504,,,
5,9914:7-7-127,STAN-S1-2_73513457,"Vand. Roberval",,0,501,,,
5,9914:7-7-127,STAN-S1-2_73513458,"Vand. Roberval",,0,503,,,
5,9914:7-7-127,STAN-S1-2_73513459,"Vand. Roberval",,0,502,,,
5,9914:7-7-127,STAN-S1-2_73513460,"Vand. Roberval",,0,504,,,
