service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
9914:10-7-127,1,1,1,1,1,1,1,20251223,20260630
9914:11-7-127,1,1,1,1,1,1,1,20251224,20260422
9914:12-7-127,1,1,1,1,1,1,1,20260219,20260423
9914:13-7-127,1,1,1,1,1,1,1,20251226,20260515
9914:1-7-127,1,1,1,1,1,1,1,20251215,20260622
9914:2-7-127,1,1,1,1,1,1,1,20251216,20260623
9914:3-7-127,1,1,1,1,1,1,1,20251217,20260624
9914:4-7-127,1,1,1,1,1,1,1,20251211,20260625
9914:5-7-127,1,1,1,1,1,1,1,20251212,20260626
9914:7-7-127,1,1,1,1,1,1,1,20251214,20260628
9914:8-7-32,0,0,0,0,0,1,0,20251213,20260627
9914:9-7-127,1,1,1,1,1,1,1,20251222,20260629
