stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,1,"Gare de Laneuveville-devant-Nancy",,48.6556056,6.2279111,,,1,,,
LNGAR0,4787015,"Laneuveville Gare",,48.6554569,6.227779,,,0,1,,
9,9,"Place Stanislas - Dom Calmet",,48.6914444,6.1812196,,,1,,,
NYPCL1,4787366,"Place Stanislas - Dom Calmet",,48.6909139,6.1808781,,,0,9,,
NYSTN0,4787401,"Place Stanislas - Dom Calmet",,48.6919749,6.1815611,,,0,9,,
11,11,"Château de Montaigu",,48.6652831,6.2165985,,,1,,,
LNGLT0,4787016,"Château de Montaigu",,48.6653399,6.216466,,,0,11,,
LNGLT1,4787017,"Château de Montaigu",,48.6650959,6.217005,,,0,11,,
13,13,"Sainte-Valdrée",,48.6614359,6.2223225,,,1,,,
LNVAL0,4787032,"Sainte-Valdrée",,48.6613959,6.222313,,,0,13,,
LNVAL1,4787033,"Sainte-Valdrée",,48.6614759,6.222332,,,0,13,,
14,14,"Jarville Gabriel Fauré",,48.6664254,6.2135515,,,1,,,
LNFAU0,4787009,"Jarville Gabriel Fauré",,48.6664199,6.213476,,,0,14,,
LNFAU1,4787010,"Jarville Gabriel Fauré",,48.6664309,6.213627,,,0,14,,
17,17,"JARVILLE-LA-MALGRANGE - Atelier",,48.6687029,6.2078545,,,1,,,
JREGL0,4786922,"L'Atelier",,48.6688729,6.207696,,,0,17,,
JREGL1,4786923,"L'Atelier",,48.6687429,6.207866,,,0,17,,
18,18,"Place Charles III - Point Central",,48.6892523,6.1826001,,,1,,,
NYCOU0,4787277,"Place Charles III - Point Central",,48.6889459,6.1822751,,,0,18,,
NYMAR0,4787343,"Place Charles III - Point Central",,48.68971,6.1833122,,,0,18,,
23,23,"Place Carnot",,48.6934859,6.1773742,,,1,,,
NYCAR0,4787249,"Place Carnot",,48.6929739,6.1769351,,,0,23,,
NYCAR1,4787250,"Place Carnot",,48.6941679,6.1777531,,,0,23,,
32,32,"UFR Staps",,48.6672235,6.1582463,,,1,,,
VLUFR0,4787738,"UFR Staps",,48.6672289,6.1582791,,,0,32,,
VLUFR1,4787739,"UFR Staps",,48.6672399,6.1581981,,,0,32,,
37,37,"Mairie",,48.6564954,6.2311522,,,1,,,
LNMAI0,4787024,"Laneuveville Mairie",,48.6564709,6.231169,,,0,37,,
LNMAI1,4787025,"Laneuveville Mairie",,48.6565209,6.231255,,,0,37,,
39,39,"Leclerc",,48.6546129,6.2323579,,,1,,,
LNLEC0,4787022,"Leclerc",,48.6544149,6.232428,,,0,39,,
LNLEC1,4787023,"Leclerc",,48.6548499,6.232297,,,0,39,,
41,41,"Transformateur",,48.6529072,6.2333644,,,1,,,
LNTRA0,4787030,"Transformateur",,48.6528889,6.23336,,,0,41,,
LNTRA1,4787031,"Transformateur",,48.6529619,6.233365,,,0,41,,
57,57,"Hôpital Central-Maternité",,48.6826883,6.1913102,,,1,,,
NYHOP1,4787316,"Hôpital Central - Maternité",,48.6822889,6.1920851,,,0,57,,
NYMAT0,4787344,"Hôpital Central - Maternité",,48.6819879,6.192293,,,0,57,,
59,59,"Vic",,48.6805364,6.194775,,,1,,,
NYSAV0,4787385,"Vic",,48.6805079,6.194807,,,0,59,,
NYSAV1,4787386,"Vic",,48.6805649,6.194743,,,0,59,,
61,61,"Alsace-Bonsecours",,48.6757239,6.2002475,,,1,,,
JRALS0,4786916,"Alsace-Bonsecours",,48.6761819,6.199772,,,0,61,,
JRALS1,4786917,"Alsace-Bonsecours",,48.6752659,6.200723,,,0,61,,
63,63,"Mairie",,48.6734539,6.2023098,,,1,,,
JRMAI0,4786932,"Jarville Mairie",,48.6732749,6.202464,,,0,63,,
JRMAI1,4786933,"Jarville Mairie",,48.6732939,6.202479,,,0,63,,
66,66,"Jarville République",,48.6707879,6.2062131,,,1,,,
JRREP2,4786942,"Jarville République",,48.6707039,6.2062821,,,0,66,,
JRREP3,4786943,"Jarville République",,48.6708719,6.206144,,,0,66,,
70,70,"Essey Mouzimpré",,48.7016315,6.2254041,,,1,,,
ESMZM7,4786821,"Mouzimpré",,48.7016829,6.22582,,,0,70,,
ESMZM9,4786822,"Essey Mouzimpré",,48.7016719,6.225606,,,0,70,,
TRMZM0,4787572,"Essey Mouzimpré",,48.7012709,6.224872,,,0,70,,
TRMZM1,4787573,"Essey Mouzimpré",,48.7018049,6.224721,,,0,70,,
72,72,"Mairie de Saint-Max",,48.7005539,6.2077631,,,1,,,
TRMAX0,4787566,"Mairie de Saint-Max",,48.7005449,6.207791,,,0,72,,
TRMAX1,4787567,"Mairie de Saint-Max",,48.7005629,6.2077351,,,0,72,,
74,74,"Division de Fer",,48.6932798,6.1910648,,,1,,,
NYDFE3,4787286,"Division de Fer",,48.6926539,6.1902701,,,0,74,,
TRDFE0,4787550,"Division de Fer",,48.6936499,6.1916031,,,0,74,,
TRDFE1,4787551,"Division de Fer",,48.6935349,6.1913201,,,0,74,,
93,93,"Bibliotheque",,48.6921649,6.1786531,,,1,,,
NYBIB0,4787237,"Bibliotheque",,48.6921649,6.1786531,,,0,93,,
5927,5927,"Chartreuse",,48.6618784,6.2478505,,,1,,,
ARCHA0,4786789,"Chartreuse",,48.6618419,6.247861,,,0,5927,,
ARCHA1,4786790,"Chartreuse",,48.6619149,6.24784,,,0,5927,,
5930,5930,"Napoléon",,48.6674384,6.23424,,,1,,,
ARNPL0,4786793,"Napoléon",,48.6665609,6.235433,,,0,5930,,
ARNPL1,4786794,"Napoléon",,48.6683159,6.233047,,,0,5930,,
5931,5931,"Repentir",,48.6615314,6.254997,,,1,,,
ARTIR0,4786797,"Repentir",,48.6616629,6.254966,,,0,5931,,
ARTIR1,4786798,"Repentir",,48.6613999,6.255028,,,0,5931,,
6007,6007,"Colonies",,48.7072924,6.2345255,,,1,,,
ESCLN0,4786809,"Colonies",,48.7074199,6.234632,,,0,6007,,
ESCLN1,4786810,"Colonies",,48.7071649,6.234419,,,0,6007,,
6012,6012,"Essey Centre",,48.7036516,6.2214678,,,1,,,
TRESS0,4787552,"Essey Centre",,48.7036639,6.221153,,,0,6012,,
TRESS1,4787553,"Essey Centre",,48.7036389,6.221782,,,0,6012,,
6022,6022,"ESSEY-LES-NANCY - Quartier Kléber",,48.7036193,6.2301433,,,1,,,
ESCSR0,4786811,"Quartier Kléber",,48.7036709,6.230204,,,0,6022,,
ESKLE0,4786818,"Quartier Kléber",,48.7035679,6.230088,,,0,6022,,
6029,6029,"Croix du Soldat",,48.6286754,6.2078075,,,1,,,
FLCSL0,4786838,"Croix du Soldat",,48.6282619,6.207376,,,0,6029,,
