from_stop_id,to_stop_id,transfer_type,min_transfer_time
ARART1,ARART0,0,
ARBOS1,ARBOS0,0,
ARBOS2,ARBOS0,0,
ARBOS2,ARBOS1,0,
ARCHA0,ARBOS2,0,
ARCHA1,ARBOS2,0,
ARCHA1,ARCHA0,0,
ARMAI0,ARHUI0,0,
ARNPL1,ARNPL0,0,
ARRLN1,ARRLN0,0,
ARTIR1,ARTIR0,0,
DMDOM1,DMDOM0,0,
ESBCH1,ESBCH0,0,
ESBUR0,ESBOP0,0,
ESCES1,ESCES0,0,
ESCHL1,ESCHL0,0,
ESCLN1,ESCLN0,0,
ESFAL1,ESBCH0,0,
ESFAL1,ESBCH1,0,
ESFAL2,ESBCH0,0,
ESFAL2,ESBCH1,0,
ESFAL2,ESFAL1,0,
ESFYR1,ESFYR0,0,
ESKLB0,ESCSR0,0,
ESKLB1,ESCSR0,0,
ESKLB1,ESKLB0,0,
ESKLE0,ESCSR0,0,
ESKLE0,ESKLB0,0,
ESKLE0,ESKLB1,0,
ESMET0,ESCSR0,0,
ESMET0,ESKLB0,0,
ESMET0,ESKLB1,0,
ESMET0,ESKLE0,0,
ESMET1,ESCSR0,0,
ESMET1,ESKLB0,0,
ESMET1,ESKLE0,0,
ESMET1,ESMET0,0,
ESMZM7,ESCES0,0,
ESMZM9,ESCES0,0,
ESMZM9,ESMZM7,0,
ESONC1,ESONC0,0,
ESOPP0,ESBCH0,0,
ESOPP0,ESBCH1,0,
ESOPP0,ESBUR0,0,
ESOPP1,ESBCH0,0,
ESOPP1,ESBCH1,0,
ESOPP1,ESBUR0,0,
ESOPP1,ESOPP0,0,
ESPCT2,ESCHL0,0,
ESPCT2,ESCHL1,0,
ESSBL0,ESONC0,0,
ESSBL1,ESSBL0,0,
ESSBL3,ESSBL0,0,
ESSBL3,ESSBL1,0,
ESSOL0,ESBOP0,0,
ESSOL0,ESBUR0,0,
ESSOL0,ESOPP0,0,
ESSOL0,ESOPP1,0,
FLAUT1,FLAUT0,0,
FLCAD1,FLCAD0,0,
FLCHT1,FLCHT0,0,
FLCSL1,FLCSL0,0,
FLDSC0,FLCAD0,0,
FLDSC0,FLCAD1,0,
FLDSC1,FLCAD0,0,
FLDSC1,FLCAD1,0,
FLDSC1,FLDSC0,0,
FLDUC0,FLCHT0,0,
FLDUC0,FLCHT1,0,
FLEFF1,FLEFF0,0,
FLFLR0,FLDUC0,0,
FLMAI0,FLCHT0,0,
FLMAI0,FLCHT1,0,
FLMAI0,FLDUC0,0,
FLMAI1,FLCHT0,0,
FLMAI1,FLCHT1,0,
FLMAI1,FLCSL0,0,
FLMAI1,FLMAI0,0,
FLNOU0,FLDUC0,0,
FLNOU1,FLDUC0,0,
FLNOU1,FLNOU0,0,
FLOBO1,FLOBO0,0,
FLPST0,FLDSC0,0,
FLPST0,FLDSC1,0,
FLPST1,FLDSC0,0,
FLPST1,FLDSC1,0,
FLPST1,FLPST0,0,
HDCCO1,HDCCO0,0,
HDCCO2,HDCCO0,0,
HDCCO2,HDCCO1,0,
HDERB1,HDERB0,0,
HDGAR0,HDERB0,0,
HDGAR0,HDERB1,0,
HDGAR1,HDERB1,0,
HDGAR1,HDGAR0,0,
HDLAV1,HDLAV0,0,
HDMAJ1,HDMAJ0,0,
HDMAN0,HDLAV0,0,
HDMAN0,HDLAV1,0,
HDMAN1,HDLAV0,0,
HDMAN1,HDLAV1,0,
HDMAN1,HDMAN0,0,
HDMNC0,HDMAN0,0,
HDMNC0,HDMAN1,0,
HDMNC1,HDMAN0,0,
HDMNC1,HDMAN1,0,
HDMNC1,HDMNC0,0,
HDMON0,HDMAJ0,0,
HDMON0,HDMAJ1,0,
HDMON1,HDMAJ0,0,
HDMON1,HDMAJ1,0,
HDMON1,HDMON0,0,
HDMUR1,HDMUR0,0,
HDRCH1,HDRCH0,0,
HDRUZ0,HDMAJ0,0,
HDRUZ0,HDMAJ1,0,
HDRUZ0,HDMON0,0,
HDRUZ0,HDMON1,0,
HDRUZ1,HDMAJ0,0,
HDRUZ1,HDMAJ1,0,
HDRUZ1,HDMON0,0,
HDRUZ1,HDMON1,0,
HDRUZ1,HDRUZ0,0,
HDTEN1,HDTEN0,0,
HLBSC1,HLBSC0,0,
HLCRO1,HLCRO0,0,
HLCRT0,HLBSC0,0,
HLCRT0,HLBSC1,0,
HLDAM0,HLBSC1,0,
HLDAM1,HLBSC1,0,
HLDAM1,HLDAM0,0,
HLEMB0,HDTEN0,0,
HLEMB1,HDTEN0,0,
HLEMB1,HLEMB0,0,
HLGRU1,HLGRU0,0,
HLHLL0,HDMUR0,0,
HLHLL0,HDMUR1,0,
HLHLL0,HLGRU0,0,
HLHLL0,HLGRU1,0,
HLHSS0,HLCRO0,0,
HLHUG0,HLBSC0,0,
HLHUG1,HLBSC0,0,
HLHUG1,HLHUG0,0,
HLMAI0,HLECO1,0,
HLMAI0,HLHSS0,0,
HLMAI1,HLECO1,0,
HLMAI1,HLHSS0,0,
HLMAI1,HLMAI0,0,
HLMOR1,HLMOR0,0,
HLPLD0,HLBSC0,0,
HLPLD0,HLBSC1,0,
HLPLD0,HLCRT0,0,
HLPLD0,HLHUG0,0,
HLPLD0,HLHUG1,0,
HLPLD1,HLBSC0,0,
HLPLD1,HLBSC1,0,
HLPLD1,HLCRT0,0,
HLPLD1,HLHUG0,0,
HLPLD1,HLHUG1,0,
HLPLD1,HLPLD0,0,
HLRFL1,HLRFL0,0,
HLRHL0,HDMUR0,0,
HLRHL0,HDMUR1,0,
HLRHL0,HLGRU0,0,
HLRHL0,HLGRU1,0,
HLRHL0,HLHLL0,0,
HLRHL1,HDMUR0,0,
HLRHL1,HDMUR1,0,
HLRHL1,HLGRU0,0,
HLRHL1,HLGRU1,0,
HLRHL1,HLHLL0,0,
HLRHL1,HLRHL0,0,
HLRHL2,HDMUR0,0,
HLRHL2,HDMUR1,0,
HLRHL2,HLGRU0,0,
HLRHL2,HLGRU1,0,
HLRHL2,HLHLL0,0,
HLRHL2,HLRHL0,0,
HLRHL2,HLRHL1,0,
HLRTD0,HLHSS0,0,
HLRTN1,HLHSS0,0,
HLRTN1,HLRTD0,0,
HLTLI0,HLECO1,0,
HLTLI1,HLECO1,0,
HLTLI1,HLTLI0,0,
HLVSL1,HLVSL0,0,
JRALS1,JRALS0,0,
JRCLF1,JRCLF0,0,
JRCLM1,JRCLM0,0,
JREGL1,JREGL0,0,
JREMM1,JREMM0,0,
JREVR0,JRCLM0,0,
JREVR0,JRCLM1,0,
JREVR1,JRCLM0,0,
JREVR1,JRCLM1,0,
JREVR1,JREVR0,0,
JRFNT1,JREGL0,0,
JRFNT1,JREGL1,0,
JRFNT1,JREVR0,0,
JRFNT1,JREVR1,0,
JRFNT3,JREGL0,0,
JRFNT3,JREGL1,0,
JRFNT3,JREVR0,0,
JRFNT3,JREVR1,0,
JRFNT3,JRFNT1,0,
JRGAR1,JRGAR0,0,
JRMAI0,JRALS1,0,
JRMAI0,JRCLF1,0,
JRMAI0,JRGAR0,0,
JRMAI0,JRGAR1,0,
JRMAI1,JRALS1,0,
JRMAI1,JRCLF1,0,
JRMAI1,JRGAR0,0,
JRMAI1,JRGAR1,0,
JRMAI1,JRMAI0,0,
JRMGG0,JRCLM1,0,
JRMGG1,JRMGG0,0,
JRMGG2,JRCLM1,0,
JRMGG2,JRMGG0,0,
JRMGG2,JRMGG1,0,
JRMGG3,JRCLM1,0,
JRMGG3,JRMGG0,0,
JRMGG3,JRMGG1,0,
JRMGG3,JRMGG2,0,
JRMON1,JRMON0,0,
JRMSF0,JRMON0,0,
JRMSF0,JRMON1,0,
JRMSF1,JRMON1,0,
JRMSF1,JRMSF0,0,
JRREP2,JREGL0,0,
JRREP2,JREGL1,0,
JRREP2,JRFNT1,0,
JRREP2,JRFNT3,0,
JRREP3,JREGL0,0,
JRREP3,JREGL1,0,
JRREP3,JRFNT1,0,
JRREP3,JRFNT3,0,
JRREP3,JRREP2,0,
JRSIO0,JRMGG0,0,
JRSIO0,JRMGG1,0,
JRSIO0,JRMGG2,0,
JRSIO0,JRMGG3,0,
JRSIO1,JRMGG0,0,
JRSIO1,JRMGG1,0,
JRSIO1,JRMGG2,0,
JRSIO1,JRMGG3,0,
JRSIO1,JRSIO0,0,
JRSIO2,JRMGG0,0,
JRSIO2,JRMGG1,0,
JRSIO2,JRMGG2,0,
JRSIO2,JRMGG3,0,
JRSIO2,JRSIO0,0,
JRSIO2,JRSIO1,0,
JRSNG0,HLVSB0,0,
JRSNG1,HLVSB0,0,
JRSNG1,JRSNG0,0,
JRSNG2,HLVSB0,0,
JRSNG2,JRSNG0,0,
JRSNG2,JRSNG1,0,
JRTEL1,JRCLM0,0,
JRTEL1,JRCLM1,0,
JRTEL1,JRTEL0,0,
LDABT1,LDABT0,0,
LDBRQ1,LDBRQ0,0,
LDCES1,LDCES0,0,
LDCNM1,LDCNM0,0,
LDCNM2,LDCNM0,0,
LDCNM2,LDCNM1,0,
LDCNM3,LDCNM0,0,
LDCNM3,LDCNM1,0,
LDCNM3,LDCNM2,0,
LDCUR0,FLPST0,0,
LDCUR0,FLPST1,0,
LDCUR1,FLPST0,0,
LDCUR1,FLPST1,0,
LDCUR1,LDCUR0,0,
LDECO1,LDECO0,0,
LDEMO0,LDCES0,0,
LDEMO0,LDCES1,0,
LDERY0,LDABT0,0,
LDERY0,LDABT1,0,
LDERY1,LDABT0,0,
LDERY1,LDABT1,0,
LDERY1,LDERY0,0,
LDERY2,LDABT0,0,
LDERY2,LDABT1,0,
LDERY2,LDERY0,0,
LDERY2,LDERY1,0,
LDFRL0,LDERY0,0,
LDFRL0,LDERY1,0,
LDFRL0,LDERY2,0,
LDFRL1,LDERY0,0,
LDFRL1,LDERY1,0,
LDFRL1,LDERY2,0,
LDFRL1,LDFRL0,0,
LDFRS1,LDFRS0,0,
LDGAR0,LDCES0,0,
LDGAR0,LDCES1,0,
LDGAR0,LDEMO0,0,
LDGAR1,LDCES0,0,
LDGAR1,LDCES1,0,
LDGAR1,LDEMO0,0,
LDGAR1,LDGAR0,0,
LDGEN1,LDGEN0,0,
LDMAI0,LDECO0,0,
LDMAI0,LDECO1,0,
LDMAI1,LDECO0,0,
LDMAI1,LDECO1,0,
LDMAI1,LDMAI0,0,
LDMAR1,LDMAR0,0,
LDMES0,LDFRL0,0,
LDMES0,LDFRL1,0,
LDMES0,LDMAR0,0,
LDMES0,LDMAR1,0,
LDMES1,LDFRL0,0,
LDMES1,LDFRL1,0,
LDMES1,LDMAR0,0,
LDMES1,LDMAR1,0,
LDMES1,LDMES0,0,
LDMON0,LDCES0,0,
LDMON0,LDCES1,0,
LDMON0,LDEMO0,0,
LDMON0,LDGEN0,0,
LDMON0,LDGEN1,0,
LDMON1,LDCES0,0,
LDMON1,LDCES1,0,
LDMON1,LDEMO0,0,
LDMON1,LDGEN0,0,
LDMON1,LDGEN1,0,
LDMON1,LDMON0,0,
LDMVT0,LDCES0,0,
LDMVT0,LDCES1,0,
LDMVT0,LDEMO0,0,
LDMVT0,LDGEN0,0,
LDMVT0,LDGEN1,0,
LDMVT0,LDMAI1,0,
LDMVT0,LDMON0,0,
LDMVT0,LDMON1,0,
LDPAP0,FLZIN0,0,
LDPAP0,LDFRS0,0,
LDPAP0,LDFRS1,0,
LDPAP1,LDFRS0,0,
LDPAP1,LDFRS1,0,
LDPAP1,LDPAP0,0,
LDPAP2,LDFRS0,0,
LDPAP2,LDFRS1,0,
LDPAP2,LDPAP0,0,
LDPAP2,LDPAP1,0,
LDRAV1,LDRAV0,0,
LDSRS0,LDECO0,0,
LDSRS0,LDECO1,0,
LDSRS0,LDMAR0,0,
LDSRS0,LDMAR1,0,
LDSRS0,LDMES1,0,
LDSRS1,LDECO0,0,
LDSRS1,LDECO1,0,
LDSRS1,LDMAI0,0,
LDSRS1,LDMAI1,0,
LDSRS1,LDMAR0,0,
LDSRS1,LDMAR1,0,
LDSRS1,LDSRS0,0,
LDVER0,LDRES0,0,
LDVER1,LDRES0,0,
LDVER1,LDVER0,0,
LDVVI1,LDVVI0,0,
LDZI20,FLDSC0,0,
LDZI20,FLDSC1,0,
LDZI20,FLPST0,0,
LDZI20,FLPST1,0,
LDZI20,LDCUR0,0,
LDZI20,LDCUR1,0,
LDZI30,FLZIN0,0,
LNCRT1,LNCRT0,0,
LNECS0,LNCRT0,0,
LNECS0,LNCRT1,0,
LNECS0,LNCTR0,0,
LNECS1,LNCRT0,0,
LNECS1,LNCRT1,0,
LNECS1,LNCTR0,0,
LNECS1,LNECS0,0,
LNERY1,LNERY0,0,
LNFAU1,LNFAU0,0,
LNFLO0,LNERY0,0,
LNFLO0,LNERY1,0,
LNFLO1,LNERY0,0,
LNFLO1,LNERY1,0,
LNFLO1,LNFLO0,0,
LNFON1,LNCRT0,0,
LNFON1,LNFLO1,0,
LNFON1,LNFON0,0,
LNGAR0,LNALN1,0,
LNGLT0,LNFAU0,0,
LNGLT0,LNFAU1,0,
LNGLT1,LNFAU0,0,
LNGLT1,LNFAU1,0,
LNGLT1,LNGLT0,0,
LNGRD1,LNGRD0,0,
LNHTM0,LNGRD0,0,
LNHTM1,LNGRD0,0,
LNHTM1,LNGRD1,0,
LNHTM1,LNHTM0,0,
